Club_involved_name,Club_involved_location,Latitude,Longitude
1. FC Köln,Cologne,50.933497,6.874997
Aalesund,Alesund,62.46979,6.18704
Aberdeen FC,Aberdeen,57.15944,-2.0863
AC Merlan Lome,Lome,6.19732,1.23295
AC Milan,Milan,45.47785,9.12173
AC Parma,Parma,44.7948,10.33829
AC Venezia 1907,Venice,45.42759,12.36404
AEL Limassol,Limassol,34.701118,33.025082
Ajax,Amsterdam,52.31417,4.94222
Alavés,Vitoria-Gasteiz,42.83598,-2.68814
Al-Rayyan SC,Ar Rayyan,25.32892,51.34297
Altrincham,Altrincham,53.3828,-2.3352
Arsenal,North London,51.555,-0.108611
AS Roma,Rome,41.93394,12.45451
Aston Villa,Birmingham,52.50818,-1.89312
Atalanta BC,Bergamo,45.70883,9.68093
Athletic,Bilbao,43.264284,-2.950366
Atlético Madrid,Madrid,40.401719,-3.720606
Atlético-PR,Curitiba,-25.44524,-49.276989
Barça U19,Barcelona,41.38311,2.12319
Barcelona,Barcelona,41.38087,2.122802
Barnsley FC,Barnsley,53.551552,-1.46943
Bay. Leverkusen,Leverkusen,51.038256,7.002206
Bayern Munich,Munich,48.218775,11.624753
Benfica,Lisbon,38.75241,-9.18473
Besiktas,Istanbul,41.03922,28.99437
Birmingham,Birmingham,52.47562,-1.86247
Blackburn,Blackburn,53.751011,-2.51423
Blackpool,Blackpool,53.80357,-3.04912
Boca Juniors,Buenos Aires,-34.635078,-58.360909
Bolton,Horwich,53.580556,-2.535556
Bor. Dortmund,Dortmund,51.492569,7.451842
Bournemouth,Bournemouth,50.73387,-1.83905
Bradford,Bradford,53.80365,-1.76077
Braintree,Braintree,51.87699,0.57007
Brentford,West London,51.49067,-0.28884
Brighton,Brighton,50.86063,-0.08167
Bristol Rovers,Bristol,51.48745,-2.58413
Brommapojkarna,Bromma,59.36221,17.85166
Burnley,Burnley,53.788479,-2.23124
Bury,Bury,53.58176,-2.29559
CA Osasuna,Pamplona,42.796667,-1.636944
Cambridge Utd.,Cambridge,52.21293,0.1568
Cardiff,Cardiff,51.47235,-3.203
Carlisle United,Carlisle,54.89264,-2.93275
Celta de Vigo,Vigo,42.211842,-8.739711
Celtic,Glasgow,55.849711,-4.205589
CFR Cluj,Cluj-Napoca,46.77932,23.57707
Charlton,South East London,51.48673,0.03658
Chelsea,West London,51.481667,-0.191111
Chesterfield FC,Chesterfield,53.25339,-1.42595
Chicago,Chicago,41.86185,-87.61666
Chivas,Zapopan,20.68128,-103.46277
Club Brugge,Bruges,51.193508,3.18374
Colchester Utd.,Colchester,51.92312,0.89794
