Player,Country,,Position,born
Peter Abbott,England,England,Forward,01-10-1953
Stan Ackerley,Australia,Australia,Defender,12-07-1942
Ted Adams,England,England,Goalkeeper,30-11-1906
Alphonso Ainsworth,England,England,Forward,31-07-1913
John Aitken,Scotland,Scotland,Forward,
George Albinson,England,England,Midfielder,14/02/1897
Arthur Albiston,Scotland,Scotland,Defender,14-07-1957
Alejandro Garnacho,Argentina,Argentina,Forward,01-07-2004
Alex Telles,Brazil,Brazil,Defender,15-12-1992
John Allan,England,England,Defender,1893
Reg Allen,England,England,Goalkeeper,03-05-1919
Arthur Allman,England,England,Defender,24/12/1890
Álvaro Fernández,Spain,Spain,Defender,23-03-2003
Alfred Ambler,England,England,Midfielder,01/07/1879
Ben Amos,England,England,Goalkeeper,10-04-1990
Ander Herrera,Spain,Spain,Midfielder,14-08-1989
Anderson,Brazil,Brazil,Midfielder,13-04-1988
George Anderson,England,England,Forward,1893
John Anderson,England,England,Midfielder,11-10-1921
Trevor Anderson,Northern Ireland,Northern Ireland,Forward,03-03-1951
Viv Anderson,England,England,Defender,29-07-1956
Willie Anderson,England,England,Forward,24-01-1947
Andreas Pereira,Brazil,Brazil,Midfielder,01-01-1996
Michael Appleton,England,England,Midfielder,04-12-1975
Thomas Arkesden,England,England,Forward,1878
Arnau Puigmal,Spain,Spain,Midfielder,10-01-2001
Beau Asquith,England,England,Forward,16-09-1910
Joe Astley,England,England,Defender,04/1899
John Aston,England,England,Forward,28-07-1947
John Aston,England,England,Defender,03-09-1921
Ray Baartz,Australia,Australia,Forward,06-03-1947
Jeff Baicher,USA,USA,Forward,16-11-1968
Gary Bailey,England,England,Goalkeeper,09-08-1958
Eric Bailly,Ivory Coast,Ivory Coast,Defender,12-04-1994
David Bain,Scotland,Scotland,Forward,05-08-1900
James Bain,Scotland,Scotland,Forward,
Jimmy Bain,Scotland,Scotland,Midfielder,06-02-1902
Bill Bainbridge,England,England,Forward,09-03-1922
Harry Baird,Northern Ireland,Northern Ireland,Forward,17-08-1913
Tommy Baldwin,England,England,Forward,10-06-1945
Jack Ball,England,England,Forward,13-09-1907
John Ball,England,England,Defender,13-03-1925
William Ball,England,England,Midfielder,04/1876
Tommy Bamford,Wales,Wales,Forward,02-09-1905
Jack Banks,England,England,Midfielder,05/1871
Jimmy Bannister,England,England,Forward,20/09/1880
Jack Barber,England,England,Forward,08-01-1901
Phil Bardsley,Scotland,Scotland,Defender,28-06-1985
Cyril Barlow,England,England,Defender,22/01/1889
Michael Barnes,England,England,Midfielder,24-06-1988
Peter Barnes,England,England,Forward,10-06-1957
Francis Barrett,Scotland,Scotland,Goalkeeper,02/08/1872
Frank Barson,England,England,Defender,10/04/1891
Fabien Barthez,France,France,Goalkeeper,28-06-1971
Arthur Beadsworth,England,England,Forward,10/1876
Robert Beale,England,England,Goalkeeper,08/01/1884
Peter Beardsley,England,England,Forward,18-01-1961
Russell Beardsmore,England,England,Midfielder,28-09-1968
Bebé,Portugal,Portugal,Forward,12-07-1990
Robert Beckett,England,England,Goalkeeper,
David Beckham,England,England,Midfielder,02-05-1975
John Beddow,England,England,Forward,10/1885
Bill Behan,Ireland,Ireland,Goalkeeper,03-08-1911
Alex Bell,Scotland,Scotland,Midfielder,1882
David Bellion,France,France,Forward,27-11-1982
Ray Bennion,Wales,Wales,Midfielder,01/09/1896
Geoff Bent,England,England,Defender,27-09-1932
Dimitar Berbatov,Bulgaria,Bulgaria,Forward,30-01-1981
Henning Berg,Norway,Norway,Defender,01-09-1969
Di'Shon Bernard,England,England,Defender,14-10-2000
Bill Berry,England,England,Forward,1882
Johnny Berry,England,England,Forward,01-06-1926
George Best,Northern Ireland,Northern Ireland,Forward,22-05-1946
Paul Bielby,England,England,Forward,24-11-1956
Brian Birch,England,England,Forward,18-11-1931
Herbert Birchenough,England,England,Goalkeeper,21/09/1874
Cliff Birkett,England,England,Forward,17-09-1933
Garry Birtles,England,England,Forward,27-07-1956
Nathan Bishop,England,England,Goalkeeper,15-10-1999
George Bissett,Scotland,Scotland,Forward,25/01/1897
Dick Black,Scotland,Scotland,Forward,18-02-1907
Tyler Blackett,England,England,Defender,02-04-1994
Clayton Blackmore,Wales,Wales,Defender,23-09-1964
Peter Blackmore,England,England,Forward,01/07/1879
Thomas Blackstock,Scotland,Scotland,Defender,1882
Laurent Blanc,France,France,Defender,19-11-1965
Jackie Blanchflower,Northern Ireland,Northern Ireland,Midfielder,07-03-1933
Horace Blew,Wales,Wales,Defender,1878
Daley Blind,Netherlands,Netherlands,Midfielder,09-03-1990
Jesper Blomqvist,Sweden,Sweden,Midfielder,05-02-1974
Samuel Blott,England,England,Forward,01/01/1886
Peter Bodak,England,England,Midfielder,12-08-1961
Tommy Bogan,Scotland,Scotland,Forward,18-05-1920
Ernie Bond,England,England,Forward,04-05-1929
Bob Bonthron,Scotland,Scotland,Defender,25/11/1880
William Booth,England,England,Midfielder,
Cameron Borthwick-Jackson,England,England,Defender,02-02-1997
Mark Bosnich,Australia,Australia,Goalkeeper,13-01-1972
Billy Boyd,Scotland,Scotland,Forward,27-11-1905
Henry Boyd,Scotland,Scotland,Forward,1868
Tommy Boyle,England,England,Forward,27-02-1901
Len Bradbury,England,England,Forward,Jul-14
Warren Bradley,England,England,Forward,20-06-1933
Robbie Brady,Ireland,Ireland,Midfielder,14-01-1992
Febian Brandy,St. Kitts & Nevis,St. Kitts & Nevis,Forward,04-02-1989
Harold Bratt,England,England,Midfielder,08-10-1939
Alan Brazil,Scotland,Scotland,Forward,15-06-1959
Derek Brazil,Ireland,Ireland,Defender,14-12-1968
Grant Brebner,Scotland,Scotland,Midfielder,06-12-1977
Jack Breedon,England,England,Goalkeeper,29-12-1907
Tommy Breen,Northern Ireland,Northern Ireland,Goalkeeper,27-04-1912
Shay Brennan,Ireland,Ireland,Defender,06-05-1937
Frank Brett,England,England,Defender,10/03/1899
Ronnie Briggs,Northern Ireland,Northern Ireland,Goalkeeper,29-03-1943
William Brooks,England,England,Forward,07/1873
Albert Broome,England,England,Forward,Jan-00
Herbert Broomfield,England,England,Goalkeeper,11/12/1878
Berry Brown,England,England,Goalkeeper,06-09-1927
James Brown,Scotland,Scotland,,
Jim Brown,USA,USA,Forward,31-12-1908
Jimmy Brown,Scotland,Scotland,Midfielder,24-06-1906
Reece Brown,England,England,Defender,01-11-1991
Wes Brown,England,England,Defender,13-10-1979
William Brown,England,England,Forward,
Steve Bruce,England,England,Defender,31-12-1960
Bruno Fernandes,Portugal,Portugal,Midfielder,08-09-1994
Billy Bryant,England,England,Forward,26-11-1913
Willie Bryant,England,England,Forward,1874
George Buchan,Scotland,Scotland,Forward,02-05-1950
Martin Buchan,Scotland,Scotland,Defender,06-03-1949
Ted Buckle,England,England,Forward,28-10-1924
Frank Buckley,England,England,Defender,03/10/1882
Jimmy Bullock,England,England,Forward,25-03-1902
William Bunce,England,England,Defender,
Herbert Burgess,England,England,Defender,25/02/1883
Ronnie Burke,England,England,Forward,13-08-1921
Tom Burke,Wales,Wales,Midfielder,1862
Francis Burns,Scotland,Scotland,Defender,17-10-1948
Charlie Butler,England,England,Defender,10/10/1897
Nicky Butt,England,England,Midfielder,21-01-1975
Albert Butterworth,England,England,Forward,20-03-1912
Alexander Büttner,Netherlands,Netherlands,Defender,11-02-1989
David Byrne,Ireland,Ireland,Forward,28-04-1905
Roger Byrne,England,England,Defender,08-09-1929
James Cairns,England,England,Forward,
James Cairns,England,England,Defender,
Fraizer Campbell,England,England,Forward,13-09-1987
